Model,Phrasing english,Items english,Phrasing spanish,Items spanish
New,,Imagine that your child attends a private school with an enrollment of 100 students. How many students do you think should be admitted to this school without paying tuition?,,Imagine que su hijo/a asiste a un colegio privado que tiene una matrícula de 100 alumnos. ¿Cuántos alumnos cree Ud. que se deberían admitir sin pagar en este colegio?
New,,"In order for those students to be admitted to the school, how much more would you be willing to pay toward the monthly tuition to support students who don't pay?",,"Para que esos alumnos puedan ser admitidos en el colegio, ¿cuánto más estaría dispuesto a pagar de la mensualidad para poder apoyar a estudiantes que no pagan?"
New,,"Imagine that you are enrolled in a health insurance plan that is considering providing coverage to 10% of the people in your plan who cannot afford it. To do so, you would have to pay an additional amount on top of your premium. In that situation, how much more would you be willing to pay?",,"Imagine que usted está en un plan de Isapre que está evaluando dar acceso a un 10% de personas en su mismo plan que no pueden pagarlo. Para ello, usted debería pagar un monto adicional a su cotización. En tal situación, ¿cuánto más estaría dispuesto a pagar?"
New,How fair or unfair do you think it is for private companies to make a profit by managing…,Health care,Qué tan justo o injusto le parece que empresas privadas obtengan ganancias monetarias administrando…,Salud
New,How fair or unfair do you think it is for private companies to make a profit by managing…,Education,Qué tan justo o injusto le parece que empresas privadas obtengan ganancias monetarias administrando…,Educación
New,How fair or unfair do you think it is for private companies to make a profit by managing…,Pensions,Qué tan justo o injusto le parece que empresas privadas obtengan ganancias monetarias administrando…,Pensiones
New,"Government resources are limited and must be allocated among various areas of public investment. With that in mind, please rank the following areas of public investment in order of priority (select at least 3).",Health care,"Los recursos del Estado son limitados y deben distribuirse entre distintas áreas de inversión pública. Pensando en cómo usted asignaría esos recursos, le pedimos ordene según prioridad las siguientes áreas de inversión de fondos públicos (seleccione al menos 3)",Salud
New,"Government resources are limited and must be allocated among various areas of public investment. With that in mind, please rank the following areas of public investment in order of priority (select at least 3).",Education,"Los recursos del Estado son limitados y deben distribuirse entre distintas áreas de inversión pública. Pensando en cómo usted asignaría esos recursos, le pedimos ordene según prioridad las siguientes áreas de inversión de fondos públicos (seleccione al menos 3)",Educación
New,"Government resources are limited and must be allocated among various areas of public investment. With that in mind, please rank the following areas of public investment in order of priority (select at least 3).",Pensions,"Los recursos del Estado son limitados y deben distribuirse entre distintas áreas de inversión pública. Pensando en cómo usted asignaría esos recursos, le pedimos ordene según prioridad las siguientes áreas de inversión de fondos públicos (seleccione al menos 3)",Pensiones
New,"Government resources are limited and must be allocated among various areas of public investment. With that in mind, please rank the following areas of public investment in order of priority (select at least 3).",Childcare,"Los recursos del Estado son limitados y deben distribuirse entre distintas áreas de inversión pública. Pensando en cómo usted asignaría esos recursos, le pedimos ordene según prioridad las siguientes áreas de inversión de fondos públicos (seleccione al menos 3)",Cuidado de niños
New,"Government resources are limited and must be allocated among various areas of public investment. With that in mind, please rank the following areas of public investment in order of priority (select at least 3).",Roads,"Los recursos del Estado son limitados y deben distribuirse entre distintas áreas de inversión pública. Pensando en cómo usted asignaría esos recursos, le pedimos ordene según prioridad las siguientes áreas de inversión de fondos públicos (seleccione al menos 3)",Carreteras
New,Below are some areas of government activity. Please indicate whether you would like to see public spending increased or decreased in each of these areas. Keep in mind that “more” or “much more” could mean a tax increase.,Health care,"A continuación, se mencionan algunos ámbitos de la actividad gubernamental. Por favor, señale si le gustaría que se aumentara o se redujera el gasto público en cada uno de ellos. Tenga en cuenta que «más» o «mucho más» podría implicar un alza de impuestos.",Salud
New,Below are some areas of government activity. Please indicate whether you would like to see public spending increased or decreased in each of these areas. Keep in mind that “more” or “much more” could mean a tax increase.,Education,"A continuación, se mencionan algunos ámbitos de la actividad gubernamental. Por favor, señale si le gustaría que se aumentara o se redujera el gasto público en cada uno de ellos. Tenga en cuenta que «más» o «mucho más» podría implicar un alza de impuestos.",Educación
New,Below are some areas of government activity. Please indicate whether you would like to see public spending increased or decreased in each of these areas. Keep in mind that “more” or “much more” could mean a tax increase.,Pensions,"A continuación, se mencionan algunos ámbitos de la actividad gubernamental. Por favor, señale si le gustaría que se aumentara o se redujera el gasto público en cada uno de ellos. Tenga en cuenta que «más» o «mucho más» podría implicar un alza de impuestos.",Pensiones
New,Below are some areas of government activity. Please indicate whether you would like to see public spending increased or decreased in each of these areas. Keep in mind that “more” or “much more” could mean a tax increase.,Childcare,"A continuación, se mencionan algunos ámbitos de la actividad gubernamental. Por favor, señale si le gustaría que se aumentara o se redujera el gasto público en cada uno de ellos. Tenga en cuenta que «más» o «mucho más» podría implicar un alza de impuestos.",Cuidado de niños
New,Below are some areas of government activity. Please indicate whether you would like to see public spending increased or decreased in each of these areas. Keep in mind that “more” or “much more” could mean a tax increase.,Roads,"A continuación, se mencionan algunos ámbitos de la actividad gubernamental. Por favor, señale si le gustaría que se aumentara o se redujera el gasto público en cada uno de ellos. Tenga en cuenta que «más» o «mucho más» podría implicar un alza de impuestos.",Carreteras
New,,"In Chile, who is most involved in providing the following services?",,"En Chile, ¿quién participa más en la provisión de los siguientes servicios?"
New,,Who is more efficient at providing the following services?,,¿Quién es más eficiente en la provisión de los siguientes servicios?
New,,"Given the situation in Chile, who should play a greater role in providing the following services?",,"Considerando la realidad chilena, ¿quién debería participar más en la provisión de los siguientes servicios?"
