"pair_id","Need_A","Identity_A","Control_A","Effort_A","Reciprocity_A","Attitude_A","Sex_A","Need_B","Identity_B","Control_B","Effort_B","Reciprocity_B","Attitude_B","Sex_B"
32,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
33,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
34,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
35,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
36,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
37,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
38,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
39,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
40,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
41,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
42,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","mas","hizo","agradece","mujer"
43,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
44,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
45,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
46,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
47,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
48,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
49,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
50,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
51,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
52,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
53,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","igual","hizo","agradece","mujer"
54,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
55,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
56,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
57,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
58,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
59,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
60,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
61,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
62,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
63,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
64,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","holgura","chile","aplico","igual","hizo","agradece","mujer"
65,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
66,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
67,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
68,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
69,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
70,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
71,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
72,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
73,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
74,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
75,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
76,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","aplico","igual","hizo","agradece","mujer"
77,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
78,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
79,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
80,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
81,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
82,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
83,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
84,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
85,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
86,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
87,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
88,"dificultad","chile","aplico","igual","hizo","agradece","mujer","holgura","venezuela","aplico","igual","hizo","agradece","mujer"
89,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
90,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
91,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
92,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
93,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
94,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
95,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
96,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
97,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
98,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
99,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
100,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
101,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","peru","aplico","igual","hizo","agradece","mujer"
102,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
103,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
104,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
105,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
106,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
107,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
108,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
109,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
110,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
111,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
112,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
113,"dificultad","chile","aplico","igual","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
114,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","holgura","peru","aplico","igual","hizo","agradece","mujer"
115,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
116,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
117,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
118,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
119,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
120,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
121,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
122,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
123,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
124,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
125,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
126,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
127,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
128,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
129,"dificultad","peru","aplico","igual","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
130,"holgura","peru","aplico","igual","hizo","agradece","mujer","dificultad","chile","no_aplico","igual","hizo","agradece","mujer"
131,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
132,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
133,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
134,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
135,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
136,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
137,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
138,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
139,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
140,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
141,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
142,"dificultad","chile","aplico","igual","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
143,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
144,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
145,"dificultad","peru","aplico","igual","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
146,"holgura","peru","aplico","igual","hizo","agradece","mujer","holgura","chile","no_aplico","igual","hizo","agradece","mujer"
147,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
148,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
149,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
150,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
151,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
152,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
153,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
154,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
155,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
156,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
157,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
158,"dificultad","chile","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
159,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
160,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
161,"dificultad","peru","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
162,"holgura","peru","aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
163,"holgura","chile","no_aplico","igual","hizo","agradece","mujer","dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer"
164,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
165,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
166,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
167,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
168,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
169,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
170,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
171,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
172,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
173,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
174,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
175,"dificultad","chile","aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
176,"holgura","chile","aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
177,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
178,"dificultad","peru","aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
179,"holgura","peru","aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
180,"dificultad","chile","no_aplico","igual","hizo","agradece","mujer","holgura","venezuela","no_aplico","igual","hizo","agradece","mujer"
181,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
182,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
183,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
184,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
185,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
186,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
187,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
188,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
189,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
190,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
191,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
192,"dificultad","chile","aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
193,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
194,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
195,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
196,"holgura","peru","aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
197,"holgura","chile","no_aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
198,"holgura","venezuela","no_aplico","igual","hizo","agradece","mujer","dificultad","peru","no_aplico","igual","hizo","agradece","mujer"
199,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
200,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
201,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
202,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
203,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
204,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
205,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
206,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
207,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
208,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
209,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
210,"dificultad","chile","aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
211,"holgura","chile","aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
212,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
213,"holgura","venezuela","aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
214,"dificultad","peru","aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
215,"dificultad","chile","no_aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
216,"dificultad","venezuela","no_aplico","igual","hizo","agradece","mujer","holgura","peru","no_aplico","igual","hizo","agradece","mujer"
217,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
218,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
219,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
220,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
221,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
222,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
223,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
224,"dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
225,"holgura","venezuela","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
226,"dificultad","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
227,"holgura","peru","no_aplico","mas","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
228,"holgura","chile","aplico","igual","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
229,"dificultad","venezuela","aplico","igual","hizo","agradece","mujer","dificultad","chile","aplico","menos","hizo","agradece","mujer"
